,Employee Name,Employee Number,Position,certificate A,Performance Score,years employed,skill A,skill B level,cognitive score,result validating,self organizing,value adding,stakeholder involving,regularly reflecting,networking,societally responsible,sharing,visionair,constantly learning
50,"South, Joe",1308060959,Sr. Network Engineer,yes,90-day meets,3.0,10,0,4,4.6,4.5,4.3,4.2,4.7,4.3,4.2,4.8,4.5,4.9
51,"Warfield, Sarah",1301052347,Sr. Network Engineer,yes,N/A- too early to review,3.0,10,4,3,3.1,3.2,3.3,3.8,3.4,3.7,3.7,3.2,4.0,3.9
52,"Bramante, Elisa",1006020066,Director of Operations,yes,Exceeds,9.0,10,0,7,7.4,7.7,7.2,7.8,7.1,7.1,7.3,8.0,7.5,7.2
53,"Albert, Michael  ",1501072311,Production Manager,yes,Fully Meets,6.0,10,2,5,5.2,5.9,5.3,6.0,5.0,5.6,5.8,5.9,5.1,5.9
54,"Bozzi, Charles",1303054580,Production Manager,yes,Fully Meets,1.0,10,0,5,5.0,6.0,5.8,5.2,5.7,5.4,5.1,5.5,5.4,5.5
55,"Butler, Webster  L",1110029990,Production Manager,yes,Exceeds,2.0,10,0,7,7.5,7.9,7.8,7.6,7.4,8.0,7.2,7.4,7.9,8.0
56,"Dunn, Amy  ",1409070147,Production Manager,yes,Fully Meets,3.0,10,0,5,5.2,5.9,5.4,5.1,5.8,6.0,5.8,5.2,5.5,6.0
57,"Gray, Elijiah  ",1307060077,Production Manager,yes,Fully Meets,2.0,10,2,5,5.3,5.6,5.7,5.8,5.8,5.1,5.1,5.1,5.1,5.4
58,"Hogland, Jonathan ",1001944783,Production Manager,no,Fully Meets,5.0,0,1,5,5.2,6.0,5.7,5.9,5.9,5.1,5.0,5.4,5.1,5.2
59,"Immediato, Walter",1403065874,Production Manager,no,Needs Improvement,2.0,0,1,2,2.6,2.6,2.3,2.4,2.6,2.3,2.4,2.2,3.0,2.3
60,"Liebig, Ketsia",1103024679,Production Manager,no,Exceeds,4.0,0,1,7,7.1,7.1,7.6,7.4,7.6,8.0,7.7,7.2,7.2,7.5
61,"Miller, Brannon",1107027351,Production Manager,yes,Fully Meets,5.0,10,0,5,5.9,5.5,5.2,5.1,5.5,5.6,5.9,5.2,5.8,5.7
62,"Peterson, Ebonee  ",1402065355,Production Manager,no,Fully Meets,6.0,0,1,5,5.5,5.0,5.5,5.5,5.4,5.4,5.6,5.4,5.5,5.3
63,"Spirea, Kelley",1102024149,Production Manager,no,Fully Meets,5.0,0,1,5,5.3,5.9,5.9,5.1,5.5,5.2,5.0,5.6,5.7,5.0
64,"Stanley, David ",1000974650,Production Manager,yes,Needs Improvement,7.0,10,2,2,2.6,2.9,2.4,2.6,2.0,2.3,3.0,2.9,2.9,2.9
65,"Sullivan, Kissy ",1405067298,Production Manager,no,Fully Meets,9.0,0,1,5,5.7,5.6,5.9,5.4,5.7,5.6,5.3,5.6,5.9,5.5
66,"Wallace, Courtney  E",1410071026,Production Manager,no,Fully Meets,0.0,0,1,5,6.0,6.0,5.9,5.2,5.0,5.1,5.4,5.9,5.2,5.7
67,"Adinolfi, Wilson  K",1409070522,Production Technician I,yes,Exceeds,6.0,10,0,7,7.6,7.4,7.4,7.4,7.7,7.1,7.4,7.5,7.7,7.1
68,"Alagbe,Trina",1011022883,Production Technician I,no,Fully Meets,10.0,0,1,5,5.9,5.6,5.3,5.9,5.2,6.0,5.5,5.9,5.6,5.2
69,"Anderson, Carol ",1001417624,Production Technician I,yes,N/A- too early to review,0.0,10,2,3,3.0,3.5,3.1,3.9,3.2,3.0,3.7,3.3,3.0,3.2
70,"Anderson, Linda  ",1304055947,Production Technician I,yes,Exceptional,6.0,10,0,6,7.0,6.3,6.3,6.1,6.7,7.0,6.8,6.8,6.4,6.1
71,"Athwal, Sam",1301052124,Production Technician I,yes,N/A- too early to review,4.0,10,4,3,3.6,3.9,3.1,3.4,3.3,3.9,3.4,3.4,3.1,3.4
72,"Bachiochi, Linda",1212051409,Production Technician I,yes,Fully Meets,8.0,10,0,5,6.0,5.5,5.1,5.7,5.3,5.1,5.3,5.8,5.5,5.6
73,"Baczenski, Rachael  ",1307060083,Production Technician I,no,N/A- too early to review,0.0,0,1,3,3.4,3.6,3.3,4.0,3.4,3.9,3.7,3.4,3.6,3.1
74,"Barbara, Thomas",1312063507,Production Technician I,no,90-day meets,0.0,0,1,4,4.7,4.5,4.5,4.4,4.8,4.8,4.3,4.8,4.8,4.1
75,"Barone, Francesco  A",1101023679,Production Technician I,yes,Fully Meets,6.0,10,0,5,5.6,5.5,5.2,5.2,5.6,5.4,5.6,5.3,5.7,5.7
76,"Barton, Nader",1212051962,Production Technician I,yes,Fully Meets,1.0,10,2,5,5.1,5.8,5.7,5.7,5.3,5.2,5.6,5.6,5.2,5.8
77,"Beatrice, Courtney ",1403066194,Production Technician I,yes,Fully Meets,7.0,10,0,5,5.6,5.6,5.1,5.4,5.4,5.9,5.7,5.0,5.8,5.9
78,"Becker, Scott",1110029777,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.1,5.8,5.6,5.5,5.1,5.7,5.7,5.2,5.5,5.0
79,"Bernstein, Sean",1109029366,Production Technician I,yes,Fully Meets,6.0,10,0,5,5.0,5.5,5.2,5.5,5.8,5.9,5.6,6.0,5.2,5.6
80,"Biden, Lowan  M",1412071844,Production Technician I,yes,Fully Meets,4.0,10,2,5,5.9,5.2,5.9,6.0,5.6,5.1,6.0,5.9,5.1,6.0
81,"Billis, Helen",1308060366,Production Technician I,no,Exceeds,3.0,0,1,7,7.6,7.8,7.3,7.2,7.1,7.9,7.6,7.3,7.5,7.4
82,"Brill, Donna",1406068293,Production Technician I,no,Fully Meets,1.0,0,1,5,5.3,5.2,5.8,5.7,5.8,5.6,5.1,5.7,5.2,5.4
83,"Bugali, Josephine ",1408069635,Production Technician I,yes,Fully Meets,4.0,10,3,5,5.1,5.9,5.4,5.1,5.6,5.1,5.0,5.1,5.3,5.2
84,"Carey, Michael  ",1311063114,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.2,5.1,5.7,5.1,5.8,5.7,5.8,5.3,5.8,5.8
85,"Chace, Beatrice ",1208048062,Production Technician I,yes,Fully Meets,3.0,10,0,5,5.4,5.2,5.0,5.8,5.8,5.0,5.1,5.2,5.9,5.5
86,"Chan, Lin",1305057282,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.4,5.1,5.7,5.3,5.7,5.7,5.7,5.0,5.5,5.7
87,"Chang, Donovan  E",1111030129,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.6,5.5,5.2,5.4,5.9,5.8,5.1,5.3,5.2,5.8
88,"Chivukula, Enola",1101023394,Production Technician I,yes,90-day meets,4.0,10,0,4,4.5,4.2,4.4,4.1,4.0,4.4,4.3,4.7,4.9,4.8
89,"Cierpiszewski, Caroline  ",1012023295,Production Technician I,yes,Fully Meets,6.0,10,0,5,5.0,5.7,5.8,5.4,5.4,5.6,5.3,5.6,5.9,5.9
90,"Clukey, Elijian",1407069280,Production Technician I,no,Exceeds,1.0,0,1,7,7.8,7.0,7.5,7.8,7.3,7.4,7.1,7.1,7.6,7.1
91,"Cockel, James",1599991009,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.5,5.7,5.7,5.8,5.4,5.9,5.2,5.2,5.7,5.5
92,"Cole, Spencer",1001450968,Production Technician I,yes,Needs Improvement,1.0,10,0,2,2.6,2.3,2.1,2.3,2.9,2.1,2.6,3.0,2.9,2.3
93,"Cornett, Lisa ",1403066069,Production Technician I,no,90-day meets,3.0,0,1,4,4.2,4.3,4.8,4.6,4.2,4.8,4.8,4.8,4.3,4.7
94,"Crimmings,   Jean",1311063172,Production Technician I,yes,N/A- too early to review,1.0,10,0,3,3.3,3.7,3.0,3.0,3.2,3.4,3.4,3.6,3.8,3.7
95,"Darson, Jene'ya ",1001109612,Production Technician I,no,Fully Meets,5.0,0,1,5,5.3,5.2,5.7,5.7,5.5,5.2,5.8,5.7,6.0,5.6
96,"DeGweck,  James",1306058816,Production Technician I,no,Fully Meets,4.0,0,1,5,5.1,5.7,5.1,5.4,5.4,5.0,5.0,5.5,5.5,5.4
97,"Desimone, Carl ",1501072124,Production Technician I,no,PIP,3.0,0,1,1,1.0,1.5,1.1,1.9,1.9,1.2,1.7,1.1,1.3,1.1
98,"Dickinson, Geoff ",706006285,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.8,5.7,5.2,5.7,6.0,5.9,5.9,5.2,5.6,5.7
99,"DiNocco, Lily ",1209048696,Production Technician I,no,Needs Improvement,5.0,0,1,2,2.2,2.1,2.0,2.2,2.8,2.8,2.1,2.2,2.1,2.8
100,"Dobrin, Denisa  S",1202031618,Production Technician I,yes,Fully Meets,6.0,10,0,5,5.8,5.5,5.1,5.5,5.7,5.3,5.4,5.7,5.3,5.3
101,"Eaton, Marianne",1406067865,Production Technician I,no,Fully Meets,2.0,0,1,5,5.5,5.9,5.2,5.2,5.2,5.3,5.6,5.9,5.2,5.8
102,"Engdahl, Jean",1007020403,Production Technician I,yes,Fully Meets,3.0,10,0,5,6.0,5.9,5.3,5.6,5.4,5.9,5.2,5.5,5.4,5.3
103,"England, Rex",1101023612,Production Technician I,no,90-day meets,4.0,0,1,4,4.5,5.0,4.3,4.7,4.9,4.4,4.8,4.7,4.7,4.6
104,"Estremera, Miguel",1104025243,Production Technician I,yes,Needs Improvement,2.0,10,0,2,2.3,2.6,2.7,2.7,2.0,2.3,3.0,2.6,2.5,2.5
105,"Evensen, April",1107027392,Production Technician I,yes,N/A- too early to review,0.0,10,0,3,3.6,3.9,3.1,3.9,3.6,3.9,3.5,3.5,3.1,3.7
106,"Ferguson, Susan",1502072511,Production Technician I,no,Fully Meets,3.0,0,1,5,5.1,5.1,5.9,5.4,5.3,5.7,5.4,6.0,5.6,5.4
107,"Fernandes, Nilson  ",1302053339,Production Technician I,no,N/A- too early to review,3.0,0,1,3,3.7,3.8,3.5,3.2,3.4,3.5,3.6,3.9,3.5,3.8
108,"Ferreira, Violeta",803009012,Production Technician I,yes,Fully Meets,6.0,10,0,5,5.3,5.4,5.5,5.5,5.9,5.2,5.9,5.7,5.2,5.2
109,"Fidelia,  Libby",1006020020,Production Technician I,no,Fully Meets,6.0,0,1,5,6.0,5.2,5.8,5.3,5.9,5.0,5.9,5.6,5.2,5.0
110,"Garcia, Raul",1309061015,Production Technician I,yes,N/A- too early to review,3.0,10,0,3,3.1,3.8,3.9,3.7,3.9,3.5,3.5,3.4,3.1,3.6
111,"Garneau, Hamish",1104025414,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.1,6.0,5.4,5.4,5.7,5.1,5.8,5.6,5.3,5.2
112,"Gaul, Barbara",1105026041,Production Technician I,yes,Fully Meets,7.0,10,0,5,5.2,5.1,5.6,5.3,5.5,5.6,5.4,5.6,5.8,5.2
113,"Gentry, Mildred",1501072192,Production Technician I,no,N/A- too early to review,3.0,0,1,3,3.3,3.4,3.4,3.7,3.4,3.3,3.2,3.3,3.7,3.7
114,"Gerke, Melisa",1308060622,Production Technician I,yes,N/A- too early to review,0.0,10,2,3,3.4,3.6,3.9,3.9,3.4,3.7,3.7,3.2,3.2,3.8
115,"Gilles, Alex",1008020960,Production Technician I,no,Needs Improvement,3.0,0,1,2,2.4,2.4,2.6,2.4,2.9,2.9,2.1,2.7,2.6,2.0
116,"Girifalco, Evelyn",1204032927,Production Technician I,yes,Exceeds,3.0,10,0,7,7.0,7.4,7.4,7.1,7.9,7.6,7.3,7.3,7.6,7.1
117,"Gold, Shenice  ",1408069539,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.7,5.8,5.4,5.7,6.0,5.6,6.0,5.3,5.2,6.0
118,"Gonzalez, Cayo",1411071212,Production Technician I,yes,Exceeds,6.0,10,2,7,7.7,7.5,7.3,7.8,7.4,7.4,7.9,7.7,7.3,7.8
119,"Gordon, David",1106026579,Production Technician I,no,Fully Meets,5.0,0,1,5,5.1,5.7,5.1,5.6,6.0,5.1,5.2,5.5,5.1,5.2
120,"Goyal, Roxana",1312063675,Production Technician I,no,Fully Meets,4.0,0,1,5,5.1,5.9,5.7,5.4,5.5,5.8,5.2,5.4,5.5,5.5
121,"Gross, Paula",1103024859,Production Technician I,yes,Fully Meets,3.0,10,2,5,5.8,5.3,5.7,5.9,6.0,5.0,5.2,5.3,5.9,5.5
122,"Handschiegl, Joanne",1405067064,Production Technician I,no,Fully Meets,6.0,0,1,5,5.9,5.4,5.9,5.3,5.5,5.5,5.6,5.4,5.9,5.4
123,"Harrell, Ludwick",1406068241,Production Technician I,no,Fully Meets,6.0,0,1,5,5.0,5.3,5.3,5.5,5.8,5.2,5.2,5.2,5.2,5.7
124,"Harrington, Christie ",1110029602,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.6,5.2,5.9,5.4,5.1,5.5,5.8,5.8,5.3,5.3
125,"Harrison, Kara",1404066622,Production Technician I,no,Exceeds,4.0,0,1,7,7.6,7.3,7.4,7.6,7.9,7.4,7.2,8.0,7.1,7.4
126,"Heitzman, Anthony",1002017900,Production Technician I,yes,90-day meets,5.0,10,0,4,4.8,4.9,4.8,4.6,4.9,4.4,4.1,4.9,4.8,4.6
127,"Ivey, Rose ",1408069882,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.3,5.6,5.1,5.1,5.4,5.3,5.3,5.4,5.6,5.1
128,"Jackson, Maryellen",1201031438,Production Technician I,yes,Fully Meets,5.0,10,0,5,5.6,5.5,5.2,5.4,6.0,5.3,6.0,5.1,5.1,5.7
129,"Jacobi, Hannah  ",1503072857,Production Technician I,yes,Fully Meets,4.0,10,2,5,5.9,5.3,5.2,5.6,5.8,5.4,5.6,5.2,6.0,5.8
130,"Jhaveri, Sneha  ",1412071713,Production Technician I,yes,Fully Meets,4.0,10,3,5,5.3,5.1,5.0,5.4,5.1,5.6,5.3,6.0,5.3,5.1
131,"Johnson, George",1105025721,Production Technician I,no,Exceeds,4.0,0,1,7,7.6,7.8,7.4,7.5,7.4,7.5,7.4,7.1,7.5,7.8
132,"Jung, Judy  ",1107027450,Production Technician I,no,90-day meets,5.0,0,1,4,4.5,4.8,4.6,4.2,4.4,4.4,4.2,4.3,4.1,4.0
133,"Keatts, Kramer ",1301052462,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.2,5.2,5.9,6.0,5.8,5.4,5.1,5.9,5.5,5.3
134,"Kinsella, Kathleen  ",710007401,Production Technician I,no,90-day meets,4.0,0,1,4,4.7,4.7,4.9,4.8,4.6,4.5,4.1,4.2,4.7,4.2
135,"Kirill, Alexandra  ",903013071,Production Technician I,no,Fully Meets,0.0,0,1,5,5.2,5.1,5.9,5.9,5.4,5.3,5.8,6.0,5.2,5.5
136,"Knapp, Bradley  J",1304055683,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.2,5.4,5.3,5.1,5.8,5.1,5.7,5.5,5.8,5.4
137,"Kretschmer, John",1311062610,Production Technician I,no,Fully Meets,7.0,0,1,5,5.6,5.4,5.7,5.9,5.9,5.5,5.6,5.6,5.7,5.9
138,"Langton, Enrico",1304055987,Production Technician I,no,Fully Meets,5.0,0,1,5,5.6,5.3,5.8,5.5,5.3,5.6,5.6,5.8,5.3,5.5
139,"Leach, Dallas",1408069409,Production Technician I,yes,Fully Meets,2.0,10,0,5,5.6,5.3,5.4,5.6,5.8,5.7,5.2,5.7,5.2,5.4
140,"LeBel, Jonathan  R",1107027575,Production Technician I,yes,90-day meets,0.0,10,0,4,4.1,4.7,4.7,4.1,4.7,4.7,4.3,4.5,4.5,4.1
141,"Linares, Marilyn ",1206042315,Production Technician I,no,N/A- too early to review,0.0,0,1,3,4.0,3.4,3.0,3.4,3.5,3.7,3.9,3.9,3.2,3.9
142,"Lydon, Allison",1101023353,Production Technician I,no,90-day meets,3.0,0,1,4,4.2,4.5,4.5,4.1,4.2,5.0,4.9,4.9,4.3,4.4
143,"Lynch, Lindsay",1001138521,Production Technician I,yes,Exceeds,4.0,10,0,7,7.9,7.6,7.9,7.7,7.6,7.2,7.5,7.9,8.0,7.5
144,"MacLennan, Samuel",1201031032,Production Technician I,yes,N/A- too early to review,0.0,10,4,3,3.3,3.4,3.5,3.3,3.7,3.7,3.4,3.5,3.7,3.7
145,"Mahoney, Lauren  ",1209049259,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.5,5.9,5.1,5.6,5.4,5.6,5.8,5.8,6.0,5.1
146,"Mangal, Debbie",1308060754,Production Technician I,no,Fully Meets,4.0,0,1,5,5.4,5.6,5.8,5.2,5.7,5.1,5.6,5.5,5.8,5.7
147,"Maurice, Shana",1401064327,Production Technician I,no,90-day meets,6.0,0,1,4,4.7,4.8,4.8,4.6,4.2,4.4,4.1,4.3,5.0,4.2
148,"Mckenna, Sandy",909015167,Production Technician I,no,Fully Meets,5.0,0,1,5,5.3,5.1,5.5,5.8,5.3,5.7,5.5,5.0,5.1,5.1
149,"Meads, Elizabeth",1409070245,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.8,5.9,5.6,5.2,5.4,5.6,5.4,5.5,5.0,5.2
150,"Medeiros, Jennifer",1109029256,Production Technician I,yes,N/A- too early to review,3.0,10,0,3,3.5,3.3,3.0,3.6,3.2,3.5,3.8,3.8,3.8,3.7
151,"Motlagh,  Dawn",1102024121,Production Technician I,yes,Fully Meets,5.0,10,2,5,5.1,5.8,5.4,5.3,5.8,6.0,5.6,5.2,5.0,5.3
152,"Ndzi, Colombui",1204033041,Production Technician I,yes,Fully Meets,3.0,10,0,5,5.5,5.6,5.2,5.9,5.8,5.9,5.8,5.6,5.6,5.1
153,"Ndzi, Horia",1204033041,Production Technician I,no,Fully Meets,3.0,0,1,5,5.4,5.0,5.3,6.0,5.7,5.4,5.8,5.6,5.8,5.9
154,"Newman, Richard ",1302053044,Production Technician I,no,Fully Meets,4.0,0,1,5,5.2,5.6,5.9,5.5,5.3,5.2,5.5,5.7,5.8,5.3
155,"Ngodup, Shari ",1403066020,Production Technician I,yes,Exceeds,5.0,10,3,7,7.3,7.1,7.7,7.3,7.4,7.9,7.6,7.1,7.3,7.4
156,"Nguyen, Lei-Ming",1203032357,Production Technician I,yes,Fully Meets,4.0,10,0,5,5.7,5.1,5.9,5.8,5.2,5.2,5.3,5.4,5.7,5.0
157,"O'hare, Lynn",1206044851,Production Technician I,yes,PIP,2.0,10,0,1,1.8,1.1,1.3,1.8,1.7,1.8,1.8,1.9,1.3,1.7
158,"Osturnka, Adeel",1404066949,Production Technician I,no,Exceeds,4.0,0,1,7,7.3,8.0,7.7,7.1,7.9,7.8,7.9,7.4,7.1,7.9
159,"Owad, Clinton",1103024335,Production Technician I,yes,Needs Improvement,4.0,10,0,2,2.4,2.6,2.3,2.2,2.1,2.8,3.0,2.4,2.3,2.2
160,"Panjwani, Nina",1109029531,Production Technician I,no,Fully Meets,3.0,0,1,5,5.1,5.7,5.5,5.5,5.9,5.4,5.6,5.6,5.7,5.9
161,"Pelech, Emil",1307060058,Production Technician I,yes,Needs Improvement,2.0,10,0,2,2.5,2.0,2.2,2.1,3.0,2.7,2.0,2.1,2.1,2.1
